"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","45 to 54 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v80527313","1.10.5.1.5.1","15000","E","","","0"
"2023","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","55 to 64 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v80527330","1.10.6.1.4.1","56.2","","","","1"
"2023","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","55 to 64 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v80527331","1.10.6.1.5.1","39100","","","","0"
"2023","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","65 years and older","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v80527348","1.10.7.1.4.1","57.7","","","","1"
"2023","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","65 years and older","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v80527349","1.10.7.1.5.1","52100","","","","0"
"2023","Canada","2016A000011124","Mortgage debt","Under 65 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v80528392","1.19.2.1.4.1","47.9","","","","1"
"2023","Canada","2016A000011124","Mortgage debt","Under 65 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v80528393","1.19.2.1.5.1","220000","","","","0"
"2023","Canada","2016A000011124","Mortgage debt","Under 35 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v80528410","1.19.3.1.4.1","38.1","","","","1"
"2023","Canada","2016A000011124","Mortgage debt","Under 35 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v80528411","1.19.3.1.5.1","232600","","","","0"
"2023","Canada","2016A000011124","Mortgage debt","35 to 44 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v80528428","1.19.4.1.4.1","58.5","","","","1"
"2023","Canada","2016A000011124","Mortgage debt","35 to 44 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v80528429","1.19.4.1.5.1","247000","","","","0"
"2023","Canada","2016A000011124","Mortgage debt","45 to 54 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v80528446","1.19.5.1.4.1","58.0","","","","1"
"2023","Canada","2016A000011124","Mortgage debt","45 to 54 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v80528447","1.19.5.1.5.1","210500","","","","0"
"2023","Canada","2016A000011124","Mortgage debt","55 to 64 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v80528464","1.19.6.1.4.1","38.5","","","","1"
"2023","Canada","2016A000011124","Mortgage debt","55 to 64 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v80528465","1.19.6.1.5.1","179000","","","","0"
"2023","Canada","2016A000011124","Mortgage debt","65 years and older","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v80528482","1.19.7.1.4.1","15.9","","","","1"
"2023","Canada","2016A000011124","Mortgage debt","65 years and older","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v80528483","1.19.7.1.5.1","111000","","","","0"
"2023","Canada","2016A000011124","Non-mortgage debt","Under 65 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v1230941255","1.30.2.1.4.1","66.5","","","","1"
"2023","Canada","2016A000011124","Non-mortgage debt","Under 65 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v1230941258","1.30.2.1.5.1","25000","","","","0"
"2023","Canada","2016A000011124","Non-mortgage debt","Under 35 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v1230941309","1.30.3.1.4.1","69.8","","","","1"
"2023","Canada","2016A000011124","Non-mortgage debt","Under 35 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v1230941312","1.30.3.1.5.1","25000","","","","0"
"2023","Canada","2016A000011124","Non-mortgage debt","35 to 44 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v1230941363","1.30.4.1.4.1","69.1","","","","1"
"2023","Canada","2016A000011124","Non-mortgage debt","35 to 44 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v1230941366","1.30.4.1.5.1","25000","","","","0"
"2023","Canada","2016A000011124","Non-mortgage debt","45 to 54 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v1230941417","1.30.5.1.4.1","69.5","","","","1"
"2023","Canada","2016A000011124","Non-mortgage debt","45 to 54 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v1230941420","1.30.5.1.5.1","27000","","","","0"
"2023","Canada","2016A000011124","Non-mortgage debt","55 to 64 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v1230941471","1.30.6.1.4.1","57.6","","","","1"
"2023","Canada","2016A000011124","Non-mortgage debt","55 to 64 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v1230941474","1.30.6.1.5.1","22000","","","","0"
"2023","Canada","2016A000011124","Non-mortgage debt","65 years and older","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v1230941525","1.30.7.1.4.1","37.7","","","","1"
"2023","Canada","2016A000011124","Non-mortgage debt","65 years and older","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v1230941528","1.30.7.1.5.1","11100","","","","0"
"2023","Canada","2016A000011124","Net worth (total assets less total debt)","Under 65 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v80529400","1.27.2.1.4.1","100.0","","","","1"
"2023","Canada","2016A000011124","Net worth (total assets less total debt)","Under 65 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v80529401","1.27.2.1.5.1","444600","","","","0"
"2023","Canada","2016A000011124","Net worth (total assets less total debt)","Under 35 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v80529418","1.27.3.1.4.1","100.0","","","","1"
"2023","Canada","2016A000011124","Net worth (total assets less total debt)","Under 35 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v80529419","1.27.3.1.5.1","159100","","","","0"
