"REF_DATE","GEO","DGUID","Seasonality","Credit liabilities of households","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-04","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","68101","","","","0"
"2023-05","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","68723","","","","0"
"2023-06","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","69201","","","","0"
"2023-07","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","69420","","","","0"
"2023-08","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","69786","","","","0"
"2023-09","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","70165","","","","0"
"2023-10","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","70317","","","","0"
"2023-11","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","70463","","","","0"
"2023-12","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","70795","","","","0"
"2024-01","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","71065","","","","0"
"2024-02","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","71766","","","","0"
"2024-03","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","71629","","","","0"
"2024-04","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","72192","","","","0"
"2024-05","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","72047","","","","0"
"2024-06","Canada","2016A000011124","Raw data","Lines of credit, of which: excluding home equity lines of credit","Dollars","81","millions","6","v1231415573","1.1.6","72611","","","","0"
